isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST WEST 178 0
true false WEST SOUTH 177 10
true false SOUTH EAST 177 10
true false EAST WEST 177 10
true false WEST EAST 177 10
true false EAST SOUTH 177 10
true false SOUTH NORTH 177 10
true false NORTH EAST 177 10
true false EAST WEST 176 20
true false WEST WEST 176 20
true false WEST EAST 176 20
true false EAST NORTH 176 20
true false NORTH SOUTH 176 20
true false SOUTH EAST 176 20
true false EAST NORTH 176 20
true false NORTH WEST 175 30
true false WEST WEST 175 30
true false WEST NORTH 175 30
true false NORTH WEST 174 40
true false WEST SOUTH 174 40
true false SOUTH NORTH 174 40
true false NORTH NORTH 174 40
true false NORTH WEST 174 40
true false WEST NORTH 174 40
true false NORTH SOUTH 174 40
true false SOUTH SOUTH 174 40
true false SOUTH SOUTH 174 40
true false SOUTH WEST 174 40
true false WEST SOUTH 174 40
true false SOUTH NORTH 174 40
true false NORTH SOUTH 174 40
true false SOUTH WEST 174 40
true false WEST EAST 174 40
true false EAST EAST 174 40
true false EAST WEST 174 40
true false WEST NORTH 174 40
true false NORTH NORTH 174 40
true false NORTH WEST 174 40
true false WEST SOUTH 174 40
true false SOUTH SOUTH 174 40
true false SOUTH NORTH 174 40
true false NORTH WEST 173 50
true false WEST WEST 173 50
true false WEST SOUTH 173 50
true false SOUTH SOUTH 173 50
true false SOUTH SOUTH 173 50
true false SOUTH NORTH 173 50
true false NORTH WEST 173 50
true false WEST WEST 173 50
true false WEST NORTH 173 50
true false NORTH EAST 172 60
true false EAST EAST 172 60
true false EAST WEST 172 60
true false WEST NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST EAST 171 70
true false EAST EAST 171 70
true false EAST SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH NORTH 171 70
true false NORTH EAST 171 70
true false EAST NORTH 171 70
true false NORTH WEST 171 70
true false WEST SOUTH 171 70
true false SOUTH SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST EAST 171 70
true false EAST WEST 171 70
true false WEST SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST SOUTH 171 70
true false SOUTH WEST 171 70
true false WEST SOUTH 171 70
true false SOUTH WEST 171 70
true false WEST SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST SOUTH 169 90
true false SOUTH EAST 169 90
true false EAST NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH EAST 169 90
true false EAST WEST 169 90
true false WEST EAST 169 90
true false EAST WEST 169 90
true false WEST EAST 169 90
true false EAST EAST 169 90
true false EAST EAST 169 90
true false EAST NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH SOUTH 169 90
true false SOUTH WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH SOUTH 169 90
true false SOUTH WEST 169 90
true false WEST SOUTH 169 90
